Year,Month,State,Generation
2014,Aug,LA,5715.79374
2014,Sep,LA,4629.01855
2014,Oct,LA,4573.44727
2014,Nov,LA,4452.30512
2014,Dec,LA,4338.07008
2014,Jan,MA,1009.05843
2014,Feb,MA,1044.35972
2014,Mar,MA,783.96193
2014,Apr,MA,1541.54606
2014,May,MA,1692.64411
2014,Jun,MA,1850.53361
2014,Jul,MA,2512.23889
2014,Aug,MA,2265.67008
2014,Sep,MA,1919.64102
2014,Oct,MA,1883.43635
2014,Nov,MA,1086.60327
2014,Dec,MA,908.02121
2014,Jan,MD,118.7401
2014,Feb,MD,99.25735
2014,Mar,MD,180.25609
2014,Apr,MD,121.79269
2014,May,MD,209.6052
2014,Jun,MD,288.02535
2014,Jul,MD,374.3152
2014,Aug,MD,379.46352
2014,Sep,MD,238.41475
2014,Oct,MD,210.18026
2014,Nov,MD,128.76529
2014,Dec,MD,157.07449
2014,Jan,ME,459.16661
2014,Feb,ME,298.47469
2014,Mar,ME,289.63963
2014,Apr,ME,320.33386
2014,May,ME,268.66714
2014,Jun,ME,551.54686
2014,Jul,ME,669.03067
2014,Aug,ME,388.56903
2014,Sep,ME,258.19495
2014,Oct,ME,210.37231
2014,Nov,ME,360.78217
2014,Dec,ME,269.60345
2014,Jan,MI,1325.01472
2014,Feb,MI,1368.15158
2014,Mar,MI,1057.28137
2014,Apr,MI,981.1187
2014,May,MI,1031.13294
2014,Jun,MI,1067.12764
2014,Jul,MI,727.07264
2014,Aug,MI,1116.56461
2014,Sep,MI,900.88232
2014,Oct,MI,1013.05262
2014,Nov,MI,821.68132
2014,Dec,MI,1113.75652
2014,Jan,MN,377.46626
2014,Feb,MN,178.4731
2014,Mar,MN,174.06042
2014,Apr,MN,150.79359
2014,May,MN,460.51216
2014,Jun,MN,342.85687
2014,Jul,MN,230.10316
2014,Aug,MN,422.29238
2014,Sep,MN,198.68597
2014,Oct,MN,600.99216
2014,Nov,MN,273.84469
2014,Dec,MN,459.55182
2014,Jan,MO,392.90868
2014,Feb,MO,289.85164
2014,Mar,MO,169.93079
2014,Apr,MO,148.0106
2014,May,MO,343.38219
2014,Jun,MO,265.36169
2014,Jul,MO,460.3686
2014,Aug,MO,552.2756
2014,Sep,MO,339.99207
2014,Oct,MO,518.10583
2014,Nov,MO,291.13281
2014,Dec,MO,272.97388
2014,Jan,MS,3260.9006
2014,Feb,MS,2345.29977
2014,Mar,MS,2268.60612
2014,Apr,MS,1627.32815
2014,May,MS,2884.37999
